ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Meta: rs_page_bg_color","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Download 1 name","Download 1 URL","Meta: bazien_product_page_header_image"
2701,simple,,"Cotton sweatshirt",1,0,visible,"A simple product is the most common and easily-understandable product type in WooCommerce. A simple product is a unique, stand-alone, physical product that you may have to ship to the customer. To start with, you can create a simple product, assign a price &amp; SKU for the product, and start selling them. eg: Books.\n\nSimple product in WooCommerce is one of the easiest to configure. You can add price, SKU and stock details, and publish a simple product. While creating a new product, you can select ‘Simple product’ from the drop-down.\n\nTo understand the process of setting up a WooCommerce Simple Product in detail, refer to our article <a href=""https://docs.woocommerce.com/document/managing-products/#section-5"" data-wpel-link=""internal"">How to Add a WooCommerce Simple Product</a>.","[elementor-template id=""2891""]",,,taxable,,1,,,0,0,,,,,1,,119.99,139.99,Women,"dress, fashion, theme, women, woocommerce",,"https://bazien.novaworks.net/wp-content/uploads/2021/05/p07.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p01.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p02.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p03.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p04.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p05.jpg",,,,,,,,,8,,,,,,,,,,,,,,
2702,variable,,"Embossed design sweatshirt",1,0,visible,"This product type lets you add variations to the same product to create a complex, variable product. Each variation of the product has its own price, SKU, available stock, etc. eg: A shirt or t-shirt with different sizes and different colors.\n\nWhile creating the product, you can select the ‘Variable product’ option from the drop-down. To be able to create different variations, you will have to set up attributes and define values to each of them. You can use different attributes and values to create variations. After that, you can manually create available variations or create all possible variations in one go. You can update individual details for each variation, after all required variations are created.\n\n&nbsp;","[elementor-template id=""2891""]",,,taxable,,1,,,0,0,,,,,1,,,,Women,"dress, fashion, theme, women, woocommerce",,"https://bazien.novaworks.net/wp-content/uploads/2021/05/p08.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p01.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p02.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p03.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p04.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p05.jpg",,,,,,,,,7,,Color,"Black, Blue, White, Yellow",1,1,Black,Size,"Large, Medium, Small",1,1,Large,,,
2703,simple,,"Structured suit blazer",1,0,visible,"A simple product is the most common and easily-understandable product type in WooCommerce. A simple product is a unique, stand-alone, physical product that you may have to ship to the customer. To start with, you can create a simple product, assign a price &amp; SKU for the product, and start selling them. eg: Books.\n\nSimple product in WooCommerce is one of the easiest to configure. You can add price, SKU and stock details, and publish a simple product. While creating a new product, you can select ‘Simple product’ from the drop-down.\n\nTo understand the process of setting up a WooCommerce Simple Product in detail, refer to our article <a href=""https://docs.woocommerce.com/document/managing-products/#section-5"" data-wpel-link=""internal"">How to Add a WooCommerce Simple Product</a>.","[elementor-template id=""2891""]",,,taxable,,1,,,0,0,,,,,1,,,99.99,Women,"dress, fashion, theme, women, woocommerce",,"https://bazien.novaworks.net/wp-content/uploads/2021/05/p10.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p01.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p02.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p03.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p04.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p05.jpg",,,,,,,,,6,,,,,,,,,,,,,,
2704,variable,,"Double-breasted structured blazer",1,0,visible,"This product type lets you add variations to the same product to create a complex, variable product. Each variation of the product has its own price, SKU, available stock, etc. eg: A shirt or t-shirt with different sizes and different colors.\n\nWhile creating the product, you can select the ‘Variable product’ option from the drop-down. To be able to create different variations, you will have to set up attributes and define values to each of them. You can use different attributes and values to create variations. After that, you can manually create available variations or create all possible variations in one go. You can update individual details for each variation, after all required variations are created.\n\n&nbsp;","[elementor-template id=""2891""]",,,taxable,,1,,,0,0,,,,,1,,,,Women,"dress, fashion, theme, women, woocommerce",,"https://bazien.novaworks.net/wp-content/uploads/2021/05/p11.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p01.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p02.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p03.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p04.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p05.jpg",,,,,,,,,5,,Color,"Black, Blue, White, Yellow",1,1,Black,Size,"Large, Medium, Small",1,1,Large,,,
2705,simple,,"Oversized check overshirt",1,0,visible,"A simple product is the most common and easily-understandable product type in WooCommerce. A simple product is a unique, stand-alone, physical product that you may have to ship to the customer. To start with, you can create a simple product, assign a price &amp; SKU for the product, and start selling them. eg: Books.\n\nSimple product in WooCommerce is one of the easiest to configure. You can add price, SKU and stock details, and publish a simple product. While creating a new product, you can select ‘Simple product’ from the drop-down.\n\nTo understand the process of setting up a WooCommerce Simple Product in detail, refer to our article <a href=""https://docs.woocommerce.com/document/managing-products/#section-5"" data-wpel-link=""internal"">How to Add a WooCommerce Simple Product</a>.","[elementor-template id=""2891""]",,,taxable,,1,,,0,0,,,,,1,,,119.99,Women,"dress, fashion, theme, women, woocommerce",,"https://bazien.novaworks.net/wp-content/uploads/2021/05/p12.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p02.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p01.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p03.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p04.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p05.jpg",,,,,,,,,4,,,,,,,,,,,,,,
2706,variable,,"Flowy suit blazer",1,0,visible,"This product type lets you add variations to the same product to create a complex, variable product. Each variation of the product has its own price, SKU, available stock, etc. eg: A shirt or t-shirt with different sizes and different colors.\n\nWhile creating the product, you can select the ‘Variable product’ option from the drop-down. To be able to create different variations, you will have to set up attributes and define values to each of them. You can use different attributes and values to create variations. After that, you can manually create available variations or create all possible variations in one go. You can update individual details for each variation, after all required variations are created.\n\n&nbsp;","[elementor-template id=""2891""]",,,taxable,,1,,,0,0,,,,,1,,,,Men,"dress, fashion, theme, women, woocommerce",,"https://bazien.novaworks.net/wp-content/uploads/2021/05/p09.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p01.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p02.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p03.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p04.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p05.jpg",,,,,,,,,3,,Color,"Black, Blue, White, Yellow",1,1,Black,Size,"Large, Medium, Small",1,1,Large,,,
2707,simple,,"Double-breasted blazer",1,0,visible,"A simple product is the most common and easily-understandable product type in WooCommerce. A simple product is a unique, stand-alone, physical product that you may have to ship to the customer. To start with, you can create a simple product, assign a price &amp; SKU for the product, and start selling them. eg: Books.\n\nSimple product in WooCommerce is one of the easiest to configure. You can add price, SKU and stock details, and publish a simple product. While creating a new product, you can select ‘Simple product’ from the drop-down.\n\nTo understand the process of setting up a WooCommerce Simple Product in detail, refer to our article <a href=""https://docs.woocommerce.com/document/managing-products/#section-5"" data-wpel-link=""internal"">How to Add a WooCommerce Simple Product</a>.","[elementor-template id=""2891""]",,,taxable,,1,,,0,0,,,,,1,,,119.99,Men,"dress, fashion, theme, women, woocommerce",,"https://bazien.novaworks.net/wp-content/uploads/2021/05/p13.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p14.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p15.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p16.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p17.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p18.jpg",,,,,,,,,2,,,,,,,,,,,,,,2884
2708,variable,,"Faux-leather double-breasted blazer",1,0,visible,"This product type lets you add variations to the same product to create a complex, variable product. Each variation of the product has its own price, SKU, available stock, etc. eg: A shirt or t-shirt with different sizes and different colors.\n\nWhile creating the product, you can select the ‘Variable product’ option from the drop-down. To be able to create different variations, you will have to set up attributes and define values to each of them. You can use different attributes and values to create variations. After that, you can manually create available variations or create all possible variations in one go. You can update individual details for each variation, after all required variations are created.\n\n&nbsp;","[elementor-template id=""2891""]",,,taxable,,1,,,0,0,,,,,1,,,,Women,"dress, fashion, theme, women, woocommerce",,"https://bazien.novaworks.net/wp-content/uploads/2021/05/p01.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p12.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p11.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p10.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p09.jpg, https://bazien.novaworks.net/wp-content/uploads/2021/05/p08.jpg",,,,,,,,,1,,Color,"Black, Blue, White, Yellow",1,1,Black,Size,"Large, Medium, Small",1,1,Large,,,2883
2709,variation,,"Puffed sleeves dress - Black, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2688,,,,,,1,,Color,Black,,1,,Size,Large,,1,,,,
2710,variation,,"Puffed sleeves dress - Black, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2688,,,,,,2,,Color,Black,,1,,Size,Medium,,1,,,,
2711,variation,,"Puffed sleeves dress - Black, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2688,,,,,,3,,Color,Black,,1,,Size,Small,,1,,,,
2712,variation,,"Puffed sleeves dress - Blue, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2688,,,,,,4,,Color,Blue,,1,,Size,Large,,1,,,,
2713,variation,,"Puffed sleeves dress - Blue, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2688,,,,,,5,,Color,Blue,,1,,Size,Medium,,1,,,,
2714,variation,,"Puffed sleeves dress - Blue, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2688,,,,,,6,,Color,Blue,,1,,Size,Small,,1,,,,
2715,variation,,"Puffed sleeves dress - White, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2688,,,,,,7,,Color,White,,1,,Size,Large,,1,,,,
2716,variation,,"Puffed sleeves dress - White, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2688,,,,,,8,,Color,White,,1,,Size,Medium,,1,,,,
2723,variation,,"Puffed sleeves dress - White, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2688,,,,,,9,,Color,White,,1,,Size,Small,,1,,,,
2730,variation,,"Puffed sleeves dress - Yellow, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2688,,,,,,10,,Color,Yellow,,1,,Size,Large,,1,,,,
2731,variation,,"Puffed sleeves dress - Yellow, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2688,,,,,,11,,Color,Yellow,,1,,Size,Medium,,1,,,,
2732,variation,,"Puffed sleeves dress - Yellow, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2688,,,,,,12,,Color,Yellow,,1,,Size,Small,,1,,,,
2769,variation,,"Flecked oversize sweatshirt - Black, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2696,,,,,,3,,Color,Black,,1,,Size,Small,,1,,,,
2776,variation,,"Flecked oversize sweatshirt - Blue, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2696,,,,,,4,,Color,Blue,,1,,Size,Large,,1,,,,
2777,variation,,"Flecked oversize sweatshirt - Blue, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2696,,,,,,5,,Color,Blue,,1,,Size,Medium,,1,,,,
2778,variation,,"Flecked oversize sweatshirt - Blue, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2696,,,,,,6,,Color,Blue,,1,,Size,Small,,1,,,,
2781,variation,,"Flecked oversize sweatshirt - White, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2696,,,,,,7,,Color,White,,1,,Size,Large,,1,,,,
2782,variation,,"Flecked oversize sweatshirt - White, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2696,,,,,,8,,Color,White,,1,,Size,Medium,,1,,,,
2783,variation,,"Flecked oversize sweatshirt - White, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2696,,,,,,9,,Color,White,,1,,Size,Small,,1,,,,
2784,variation,,"Flecked oversize sweatshirt - Yellow, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2696,,,,,,10,,Color,Yellow,,1,,Size,Large,,1,,,,
2785,variation,,"Flecked oversize sweatshirt - Yellow, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2696,,,,,,11,,Color,Yellow,,1,,Size,Medium,,1,,,,
2786,variation,,"Flecked oversize sweatshirt - Yellow, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2696,,,,,,12,,Color,Yellow,,1,,Size,Small,,1,,,,
2787,variation,,"Flecked oversize sweatshirt - Black, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2696,,,,,,1,,Color,Black,,1,,Size,Large,,1,,,,
2788,variation,,"Flecked oversize sweatshirt - Black, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2696,,,,,,2,,Color,Black,,1,,Size,Medium,,1,,,,
2789,variation,,"Basic sweatshirt - White, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2698,,,,,,7,,Color,White,,1,,Size,Large,,1,,,,
2790,variation,,"Basic sweatshirt - White, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2698,,,,,,8,,Color,White,,1,,Size,Medium,,1,,,,
2791,variation,,"Basic sweatshirt - White, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2698,,,,,,9,,Color,White,,1,,Size,Small,,1,,,,
2792,variation,,"Basic sweatshirt - Yellow, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2698,,,,,,10,,Color,Yellow,,1,,Size,Large,,1,,,,
